reaction_name	molecule_A	molecule_B	bond_type	atom_1	atom_2
rxn_21830	"""(3β,9β)-4α-demethyl-4α-carboxy-9,19-cyclolanost-24-en-3-ol"""	"""31-norcycloartenone"""	singleR	4	29
rxn_21830	"""31-norcycloartenone"""	"""(3β,9β)-4α-demethyl-4α-carboxy-9,19-cyclolanost-24-en-3-ol"""	double	3	31
rxn_21831	"""31-norcycloartenol"""	"""31-norcycloartenone"""	double	8	9
rxn_21831	"""31-norcycloartenone"""	"""31-norcycloartenol"""	single	8	9
rxn_21831	"""31-norcycloartenone"""	"""31-norcycloartenol"""	singleR	9	19
rxn_21831	"""31-norcycloartenone"""	"""31-norcycloartenol"""	singleS	14	30
rxn_21833	"""4α-methylhydroxy-5α-cholest-7,24-dien-3β-ol"""	"""4α-methyl-5α-cholesta-7,24-dien-3β-ol"""	single	29	34
rxn_21834	"""4α-formyl-5α-cholest-7,24-dien-3β-ol"""	"""4α-methylhydroxy-5α-cholest-7,24-dien-3β-ol"""	double	29	34
rxn_21834	"""4α-methylhydroxy-5α-cholest-7,24-dien-3β-ol"""	"""4α-formyl-5α-cholest-7,24-dien-3β-ol"""	single	29	34
rxn_21835	"""4α-carboxy-5α-cholesta-7,24-dien-3β-ol"""	"""4α-formyl-5α-cholest-7,24-dien-3β-ol"""	single	29	35
rxn_21837	"""5α-cholesta-7,24-dien-3-one"""	"""5α-cholesta-7,24-dienol"""	double	3	31
rxn_21837	"""5α-cholesta-7,24-dienol"""	"""5α-cholesta-7,24-dien-3-one"""	singleR	3	31
rxn_3_OXOSTEROID_1_DEHYDROGENASE_RXN	"""a 3-oxo-Δ1-steroid"""	"""a 3-oxosteroid"""	double	1	2
rxn_3_OXOSTEROID_1_DEHYDROGENASE_RXN	"""a 3-oxosteroid"""	"""a 3-oxo-Δ1-steroid"""	single	1	2
rxn_4225	"""(22α)-hydroxy-campesterol"""	"""campesterol"""	singleR	22	34
rxn_4226	"""(22α)-hydroxy-campest-4-en-3-one"""	"""(22α)-hydroxy-campesterol"""	double	3	31
rxn_4226	"""(22α)-hydroxy-campest-4-en-3-one"""	"""(22α)-hydroxy-campesterol"""	double	4	5
rxn_4226	"""(22α)-hydroxy-campest-4-en-3-one"""	"""(22α)-hydroxy-campesterol"""	single	5	6
rxn_4226	"""(22α)-hydroxy-campesterol"""	"""(22α)-hydroxy-campest-4-en-3-one"""	double	5	6
rxn_4226	"""(22α)-hydroxy-campesterol"""	"""(22α)-hydroxy-campest-4-en-3-one"""	single	4	5
rxn_4226	"""(22α)-hydroxy-campesterol"""	"""(22α)-hydroxy-campest-4-en-3-one"""	singleR	3	31
rxn_4228	"""(22S,24R)-22-hydroxy-5α-ergostan-3-one"""	"""6-deoxocathasterone"""	double	3	31
rxn_4228	"""6-deoxocathasterone"""	"""(22S,24R)-22-hydroxy-5α-ergostan-3-one"""	singleR	3	31
rxn_4229	"""(22S,24R)-22-hydroxy-5α-ergostan-3-one"""	"""(22α)-hydroxy-campest-4-en-3-one"""	single	4	5
rxn_4229	"""(22α)-hydroxy-campest-4-en-3-one"""	"""(22S,24R)-22-hydroxy-5α-ergostan-3-one"""	double	4	5
rxn_4230	"""(22S,24R)-22-hydroxy-5α-ergostan-3-one"""	"""(5α)-campestan-3-one"""	singleR	22	34
rxn_4231	"""(22α)-hydroxy-campest-4-en-3-one"""	"""campest-4-en-3-one"""	singleR	22	34
rxn_709	"""campest-4-en-3β-ol"""	"""campesterol"""	double	4	5
rxn_709	"""campest-4-en-3β-ol"""	"""campesterol"""	single	5	6
rxn_709	"""campesterol"""	"""campest-4-en-3β-ol"""	double	5	6
rxn_709	"""campesterol"""	"""campest-4-en-3β-ol"""	single	4	5
rxn_710	"""campest-4-en-3-one"""	"""campest-4-en-3β-ol"""	double	3	31
